"function_name","category","version_marker","tier","tier_label","description"
"ISEVEN","Information functions","","2","baseline_context","Returns TRUE if the number is even"
"ISFORMULA","Information functions","","2","baseline_context","Returns TRUE if there is a reference to a cell that contains a formula"
"ISO.CEILING","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns a number that is rounded up to the nearest integer or to the nearest multiple of significance"
"ISOWEEKNUM","Date and time functions","","2","baseline_context","Returns the number of the ISO week number of the year for a given date"
"ISPMT","Financial functions","","1","regular_pure_or_low_risk","Calculates the interest paid during a specific period of an investment"
"JIS","Compatibility","","1","regular_pure_or_low_risk",""
"KURT","Statistical functions","","1","regular_pure_or_low_risk","Returns the kurtosis of a data set"
"LARGE","Statistical functions","","1","regular_pure_or_low_risk","Returns the k-th largest value in a data set"
"LCM","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the least common multiple"
"LEFT, LEFTB","Text functions","","2","baseline_context","Returns the leftmost characters from a text value"
"LEN, LENB","Text functions","","2","baseline_context","Returns the number of characters in a text string"
"LINEST","Statistical functions","","1","regular_pure_or_low_risk","Returns the parameters of a linear trend"
"LN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the natural logarithm of a number"
"LOG","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the logarithm of a number to a specified base"
"LOG10","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the base-10 logarithm of a number"
"LOGEST","Statistical functions","","1","regular_pure_or_low_risk","Returns the parameters of an exponential trend"
"LOGINV","Compatibility","","2","baseline_context","Returns the inverse of the lognormal cumulative distribution function"
"LOGNORM.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the cumulative lognormal distribution"
"LOGNORM.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the inverse of the lognormal cumulative distribution"
"LOGNORMDIST","Compatibility","","2","baseline_context","Returns the cumulative lognormal distribution"
"LOOKUP","Lookup and reference functions","","2","baseline_context","Looks up values in a vector or array"
"LOWER","Text functions","","2","baseline_context","Converts text to lowercase"
"MAX","Statistical functions","","1","regular_pure_or_low_risk","Returns the maximum value in a list of arguments"
"MAXA","Statistical functions","","1","regular_pure_or_low_risk","Returns the maximum value in a list of arguments, including numbers, text, and logical values"
"MAXIFS","Statistical functions","","1","regular_pure_or_low_risk","Returns the maximum value among cells specified by a given set of conditions or criteria"
"MDETERM","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the matrix determinant of an array"
"MDURATION","Financial functions","","1","regular_pure_or_low_risk","Returns the Macauley modified duration for a security with an assumed par value of $100"
"MEDIAN","Statistical functions","","1","regular_pure_or_low_risk","Returns the median of the given numbers"
"MID, MIDB","Text functions","","2","baseline_context","Returns a specific number of characters from a text string starting at the position you specify"
"MIN","Statistical functions","","1","regular_pure_or_low_risk","Returns the minimum value in a list of arguments"
"MINA","Statistical functions","","1","regular_pure_or_low_risk","Returns the smallest value in a list of arguments, including numbers, text, and logical values"
"MINIFS","Statistical functions","","1","regular_pure_or_low_risk","Returns the minimum value among cells specified by a given set of conditions or criteria."
"MINUTE","Date and time functions","","2","baseline_context","Converts a serial number to a minute"
"MINVERSE","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the matrix inverse of an array"
"MIRR","Financial functions","","1","regular_pure_or_low_risk","Returns the internal rate of return where positive and negative cash flows are financed at different rates"
"MMULT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the matrix product of two arrays"
"MOD","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the remainder from division"
"MODE","Compatibility","","2","baseline_context","Returns the most common value in a data set"
"MODE.MULT","Statistical functions","","1","regular_pure_or_low_risk","Returns a vertical array of the most frequently occurring, or repetitive values in an array or range of data"
"MODE.SNGL","Statistical functions","","1","regular_pure_or_low_risk","Returns the most common value in a data set"
"MONTH","Date and time functions","","2","baseline_context","Converts a serial number to a month"
"MROUND","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns a number rounded to the desired multiple"
"MULTINOMIAL","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the multinomial of a set of numbers"
"MUNIT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the unit matrix or the specified dimension"
"NA","Information functions","","2","baseline_context","Returns the error value #N/A"
"NEGBINOM.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the negative binomial distribution"
"NEGBINOMDIST","Compatibility","","2","baseline_context","Returns the negative binomial distribution"
"NETWORKDAYS","Date and time functions","","2","baseline_context","Returns the number of whole workdays between two dates"
"NETWORKDAYS.INTL","Date and time functions","","2","baseline_context","Returns the number of whole workdays between two dates using parameters to indicate which and how many days are weekend days"
"NOMINAL","Financial functions","","1","regular_pure_or_low_risk","Returns the annual nominal interest rate"
"NORM.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the normal cumulative distribution"
"NORM.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the inverse of the normal cumulative distribution"
"NORM.S.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the standard normal cumulative distribution"
"NORM.S.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the inverse of the standard normal cumulative distribution"
"NORMDIST","Compatibility","","2","baseline_context","Returns the normal cumulative distribution"
"NORMINV","Compatibility","","2","baseline_context","Returns the inverse of the normal cumulative distribution"
"NORMSDIST","Compatibility","","2","baseline_context","Returns the standard normal cumulative distribution"
"NORMSINV","Compatibility","","2","baseline_context","Returns the inverse of the standard normal cumulative distribution"
"NOT","Logical functions","","1","regular_pure_or_low_risk","Reverses the logic of its argument"
"NPER","Financial functions","","1","regular_pure_or_low_risk","Returns the number of periods for an investment"
"NPV","Financial functions","","1","regular_pure_or_low_risk","Returns the net present value of an investment based on a series of periodic cash flows and a discount rate"
"NUMBERVALUE","Text functions","","2","baseline_context","Converts text to number in a locale-independent manner"
"OCT2BIN","Engineering functions","","1","regular_pure_or_low_risk","Converts an octal number to binary"
"OCT2DEC","Engineering functions","","1","regular_pure_or_low_risk","Converts an octal number to decimal"
"OCT2HEX","Engineering functions","","1","regular_pure_or_low_risk","Converts an octal number to hexadecimal"
"ODD","Math and trigonometry functions","","1","regular_pure_or_low_risk","Rounds a number up to the nearest odd integer"
"ODDFPRICE","Financial functions","","1","regular_pure_or_low_risk","Returns the price per $100 face value of a security with an odd first period"
"ODDFYIELD","Financial functions","","1","regular_pure_or_low_risk","Returns the yield of a security with an odd first period"
"ODDLPRICE","Financial functions","","1","regular_pure_or_low_risk","Returns the price per $100 face value of a security with an odd last period"
"ODDLYIELD","Financial functions","","1","regular_pure_or_low_risk","Returns the yield of a security with an odd last period"
"OR","Logical functions","","1","regular_pure_or_low_risk","Returns TRUE if any argument is TRUE"
"PDURATION","Financial functions","","1","regular_pure_or_low_risk","Returns the number of periods required by an investment to reach a specified value"
"PEARSON","Statistical functions","","1","regular_pure_or_low_risk","Returns the Pearson product moment correlation coefficient"
"PERCENTILE","Compatibility","","2","baseline_context","Returns the k-th percentile of values in a range"
"PERCENTILE.EXC","Statistical functions","","1","regular_pure_or_low_risk","Returns the k-th percentile of values in a range, where k is in the range 0..1, exclusive"
"PERCENTILE.INC","Statistical functions","","1","regular_pure_or_low_risk","Returns the k-th percentile of values in a range"
"PERCENTOF","Math and trigonometry functions","","1","regular_pure_or_low_risk","Sums the values in the subset and divides it by all the values"
"PERCENTRANK","Compatibility","","2","baseline_context","Returns the percentage rank of a value in a data set"
"PERCENTRANK.EXC","Statistical functions","","1","regular_pure_or_low_risk","Returns the rank of a value in a data set as a percentage (0..1, exclusive) of the data set"
"PERCENTRANK.INC","Statistical functions","","1","regular_pure_or_low_risk","Returns the percentage rank of a value in a data set"
"PERMUT","Statistical functions","","1","regular_pure_or_low_risk","Returns the number of permutations for a given number of objects"
"PERMUTATIONA","Statistical functions","","1","regular_pure_or_low_risk","Returns the number of permutations for a given number of objects (with repetitions) that can be selected from the total objects"
"PHI","Statistical functions","","1","regular_pure_or_low_risk","Returns the value of the density function for a standard normal distribution"
"PHONETIC","Text functions","","2","baseline_context","Extracts the phonetic (furigana) characters from a text string"
"PMT","Financial functions","","1","regular_pure_or_low_risk","Returns the periodic payment for an annuity"
"POISSON","Compatibility","","2","baseline_context","Returns the Poisson distribution"
"POISSON.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the Poisson distribution"
"POWER","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the result of a number raised to a power"
"PPMT","Financial functions","","1","regular_pure_or_low_risk","Returns the payment on the principal for an investment for a given period"
"PRICE","Financial functions","","1","regular_pure_or_low_risk","Returns the price per $100 face value of a security that pays periodic interest"
"PRICEDISC","Financial functions","","1","regular_pure_or_low_risk","Returns the price per $100 face value of a discounted security"
"PRICEMAT","Financial functions","","1","regular_pure_or_low_risk","Returns the price per $100 face value of a security that pays interest at maturity"
"PROB","Statistical functions","","1","regular_pure_or_low_risk","Returns the probability that values in a range are between two limits"
"PRODUCT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Multiplies its arguments"
"PROPER","Text functions","","2","baseline_context","Capitalizes the first letter in each word of a text value"
"PV","Financial functions","","1","regular_pure_or_low_risk","Returns the present value of an investment"
"QUARTILE","Compatibility","","2","baseline_context","Returns the quartile of a data set"
"QUARTILE.EXC","Statistical functions","","1","regular_pure_or_low_risk","Returns the quartile of the data set, based on percentile values from 0..1, exclusive"
"QUARTILE.INC","Statistical functions","","1","regular_pure_or_low_risk","Returns the quartile of a data set"
"QUOTIENT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the integer portion of a division"
"RADIANS","Math and trigonometry functions","","1","regular_pure_or_low_risk","Converts degrees to radians"
"RANDARRA","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns an array of random numbers between 0 and 1. However, you can specify the number of rows and columns to fill, minimum and maximum values, and whether to return whole numbers or decimal values."
"RANK","Compatibility","","2","baseline_context","Returns the rank of a number in a list of numbers"
"RANK.AVG","Statistical functions","","1","regular_pure_or_low_risk","Returns the rank of a number in a list of numbers"
"RANK.EQ","Statistical functions","","1","regular_pure_or_low_risk","Returns the rank of a number in a list of numbers"
"RATE","Financial functions","","1","regular_pure_or_low_risk","Returns the interest rate per period of an annuity"
